model,bodytype,color,specs,engine,mileage,price,city
2017 Mercedes-Benz G-Class AMG G 65,SUV,Black,"Used 2017 Mercedes-Benz G-Class AMG G 65 with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, Air Conditioning, Power Steering, Power Windows, Trip Computer",12 Cyl,"Mileage: 6,208 miles","$184,995 ",NYC
2015 BMW 6 Series 650i xDrive,Sedan,Black,,8 Cyl,"Mileage: 42,763 miles","$49,395 ",NYC
2013 Nissan Pathfinder SL,SUV,Red,"Used 2013 Nissan Pathfinder SL with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 72,224 miles","$17,153 ",NYC
2013 Nissan Maxima SV,Sedan,Blue,"Used 2013 Nissan Maxima SV with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Cruise Control, Split/Folding Seats, Power Steering, Power Windows, 4-Wheel Disc Brakes, Trip Computer, Power Seat (Driver)",6 Cyl,"Mileage: 34,003 miles","$14,699 ",NYC
2015 Toyota Avalon XLE,Sedan,Red,"Used 2015 Toyota Avalon XLE with FWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 23,984 miles","$22,991 ",NYC
2014 BMW 5 Series 528i xDrive,Sedan,White,"Used 2014 BMW 5 Series 528i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,"Mileage: 24,395 miles","$30,895 ",NYC
2015 Lexus NX 200t,SUV,White,"Used 2015 Lexus NX 200t with AWD, Fog Lights, Power Sun/Moonroof, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver)",4 Cyl,"Mileage: 22,620 miles","$32,898 ",NYC
2013 Lexus ES 350,Sedan,Silver,"Used 2013 Lexus ES 350 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Cruise Control, Air Conditioning, MP3, Power Steering, Aux Audio Adapter, Power Seat (Driver), Intermittent Wipers",6 Cyl,"Mileage: 54,838 miles","$22,715 ",NYC
2014 BMW 3 Series 335i xDrive,Sedan,Black,,6 Cyl,"Mileage: 51,214 miles","$26,895 ",NYC
2014 Toyota RAV4 XLE,SUV,Red,"Used 2014 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 23,484 miles","$19,998 ",NYC
2015 Lexus RX 350,SUV,Silver,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",6 Cyl,"Mileage: 11,384 miles","$37,156 ",NYC
2014 Ford Escape Titanium,SUV,Red,"Used 2014 Ford Escape Titanium with 4WD, Remote Start, Leather Seats, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 43,926 miles","$18,995 ",NYC
2014 Nissan Altima S,Sedan,Red,"Used 2014 Nissan Altima S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,"Mileage: 26,715 miles","$14,045 ",NYC
